_	a	determiner			banyin na basia	a man and a woman
Abesinia	Ethiopia	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Abesinia	go to Ethiopia
Abesinianyi	Ethiopian	noun	obi a ɔ fi Abesinia	someone from Ethiopia	Abesiniafo no	the Ethiopians
abɛ	palm	noun			abɛ dua	a palm tree
abɛbrɛsɛ	trouble	noun			abɛbrɛsɛ nye ɔyaw	trouble and pain
abɛbusɛm	parable	noun			Yesu ne abɛbusɛm	the parables of Jesus
abɛbɛ	pet	noun			me abɛbɛ	my pet
abɛbɛw	grasshopper	noun			tɛtea nye abɛbɛw	ant and grasshopper
abɛfua	palmnut	noun			abɛfua dua	a palmnut tree
abɛn	whistle	noun			bɔ abɛn no	play the whistle
abɛnkwan	palmnut soup	noun			me pɛ abɛnkwan	I want palmnut soup
abɛsɛntrɔw	palmnut wool	noun			abɛsɛntrɔw hyew yie	palmnut wool burns well
abiasa	three	adjective	nkanee 3	The number 3	mbɔdambɔ abiasa	three bottles
abibiman	Africa	noun			sera abibiman	visit Africa
Abibiman Nkabomkuw	African Union	noun			Abibiman Nkabomkuw nsordaafo	African Union troops
abibir	African	adjective			abibir bɔɔlbɔ kuw	African soccer team
Abibir Anaafo	South Africa	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Abibir Anaafo	go to South Africa
Abibir Anaafonyi	South African	noun	obi a ɔ fi Abibir Anaafo	someone from South Africa	Abibir Anaafofo no	the South Africans
Abibir Finimfin Man	Central African Republic	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Abibir Finimfin Man	go to Central African Republic
Abibir Finimfin Mannyi	Central African	noun	obi a ɔ fi Abibir Finimfin Man	someone from Central African Republic	Abibir Finimfin Mamfo no	the Central Africans
abien	two	adjective	nkanee 2		mbɔdambɔ abien si bamba no so	There are two bottles on the wall
abirekyi	goat	noun			abirekyi na oguan	a goat and a sheep
abisaa	riddle	noun			abisaa na abrɔme	puzzles and riddles
aboadabi	locust	noun			mboadabi na ɛwo	locusts and honey
aboawa	insect	noun		an animal with 6 legs	kakarika yɛ aboawa	a cockroach is an insect
abodoo	bread	noun			abodoo gowgow	soft bread
aboduaba	doll	noun			me aboduaba	my doll
abofon	nausea	noun			ɔ wɔ abofon	she has nausea
abofra	baby	noun			me wɔ abofra	I have a baby
abokyi	abochi	noun	Hausa kasafua a ɛ kyerɛ sɛ "nyimpa adamfo". Ɛ yɛ din wɔ Akan mu	abochi is a Hausa word meaning "friend of man". Used as an Akan name	yɛ yɛ abokyi paa	we are very good friends
aboloo	cake	noun				we will eat the cake
abon	bark	noun			dua no ho abon	bark of a tree
abonsam	devil	noun			mma nnsuro mbonsam	don't fear devils
abooboo	wailing	noun			su nye abooboo	crying and wailing
aboro	sabotage	noun			aboro nyi	this is sabotage
aborosan	storey building	noun			me resi aborosan	I am building a storey building
aborɔba	distinguished	noun			atwɛre aborɔba bi	a distinguished frog
aborɔbɛ	pineapple	noun			aborobɛ nsu	pineapple juice
aborɔdwe	walnut	noun			mborɔdwe du	ten walnuts
aborɔnoma	dove	noun			aborɔnoma fufuw	white dove
abosomanketew	chameleon	noun			me  hu abosomanketew no	I see the chameleon
abotare		noun	ntoboase			
abow	door	noun			tow abow no mu	close the door
abowa	animal	noun			bɔdɔm yɛ abowa	a dog is an animal
abowano	outdoors	noun			kɔ abowano	go outdoors
abowatena	snake	noun			abowatena nnyi anan	a snake has no legs
abowatia	dwarf	noun			mbowatia asuon	seven dwarves
aboyerɛw	heartburn	noun			me anya aboyerɛw	I have heartburn
abɔasee	aborigine	noun			yɛ yɛ abɔasee no	we are the aborigines
abɔbaado	badge	noun			abɔbaado fufuw	a white badge
abɔde	creation	noun			abɔde nyina	all creation
abɔdin	title	noun			"Tumfo" yɛ abɔdin	"Mighty One" is a title
abɔdinkrataa	certificate	noun			wo wie sukuu a wo nya abɔdinkrataa	when you complete school you get a certificate
abɔdo	belt	noun			abɔdo tuntum	black belt
abɔdwe	chin	noun			suo wo abɔdwe mu	hold your chin
abɔdwesɛ	beard	noun			abɔdwesɛ tenten	long beard
abɔndua	axe	noun			abɔndua anan	four axes
abɔntene	outside	adverb			pasar abɔntene	stroll outside
abrabɔ	lifestyle	noun			abrabɔ hyewhyew	an active lifestyle
abrampa	young	adjective			nyimpa abrampa	young person
abrɔba	distinguished	adjective			atwɛre aborɔba bi	a distinguished frog
abrɔme	puzzle	noun			abisaa na abrɔme	puzzles and riddles
abubur	dove	noun			abubur fufuw	white dove
abufuw	anger	noun			dwedwe wo abufuw	calm your anger
abunabun	greenish	adjective			dan ebunebun	greenish house
aburokyire	abroad	noun			ɔ kɔ aburokyire	she goes abroad
aburow	corn	noun			aburow na nkate	corn and groundnuts
abuwa	pipe	noun			ɔ renom abuwa	she is smoking a pipe
adagye	leisure	noun	mbere a e nnyɛ hwee	time to spare	e wɔ adagye?	you have leisure?
adaka	box	noun			adaka A so sen adaka B	box A is bigger than box B
adakabɛn	xylophone	noun			bɔ adakabɛn	play a xylophone
adamfo	friend	noun			me adamfo	my friend
adanse	proof	noun			kyerɛ me adanse no	show me the proof
adante	oyster	noun			me di ndante	I eat oysters
adar	cutlass	noun			fa adar no ma me	give me the cutlass
adare	billhook	noun			adare abiasa	three billhooks
adasa	humankind	noun			yɛ yɛ adasa	we are humankind
ade	thing	noun	dodow: ndeɛmba	a reference to an unnamed object	ade no; ndeɛmba no	the thing; the things
adebɔneyɛnyi	evildoer	noun			yɛn nyina yɛ yɛ adebɔneyɛfo	we are all evildoers
adedi	inheritance	noun			gye wo adedi	claim your inheritance
adehiapaa	priority	noun			wo adehiapaa nye bɛn?	what is your priority?
adehye	royal	adjective			abusua adehye	royal family
adekyee	daybreak	noun			adekyee nye adesaa	daybreak and nightfall
adende	swing	noun			tow adende	play on a swing
adesaa	nightfall	noun			adekyee nye adesaa	daybreak and nightfall
adesoa	burden	noun			adesoa duruduru	very heavy burden
adetɔnni	trader	noun			me yɛ adetɔnni	I am a trader
adeyɛ	skill	noun			ɔ wɔ adeyɛ papa	she has good skills
adɛn	why	adverb			adɛn nti?	why so?
adiban	food	noun			di adiban	eat food
adidibea	restaurant	noun			adidibea foforo	a new restaurant
adifudi	greed	noun			adifudi kɛse	greed and envy
adigidɔn	cotton	noun			adigidɔn tam	cloth of cotton
adinkra	symbol	noun			adinkra biara wɔ nkyerɛase	every symbol has a meaning
adiwo	yard	noun			adiwo kɛse	big yard
adom	grace	noun		undeserved favour	Nyame ne adom	the grace of God
adow	monkey	noun			adow pɛ mpuwa	a monkey likes bananas
adowa	bee	noun			ndowa pii	many bees
adɔmba	bell	noun			skuul adɔmba	school bell
adɔntene	advance	adjective			ma me kɔkɔ adɔntene	give me an advance warning
adɔpe	ape	noun			adɔpe nye adow	an ape and a monkey
adrɛse	address	noun			wo adrɛse	your address
aduaba	fruit	noun			tew aduaba	pluck fruit
aduakron	ninety	adjective	nkanee 90	the number 90	mbɔdambɔ aduakron	ninety bottles
aduanan	forty	adjective	nkanee 40	the number 40	mbɔdambɔ aduanan	forty bottles
aduane	food	noun			di aduane	eat food
aduasa	thirty	adjective	Nkanee 30	the number 30	mbɔdambɔ aduasa	thirty bottles
aduasia	sixty	adjective	nkanee 60	the number 60	mbɔdambɔ aduasia	sixty bottles
aduasuon	seventy	adjective	nkanee 70	the number 70	mbɔdambɔ 70	seventy bottles
aduawɔtwe	eighty	adjective	nkanee 80	the number 80	mbdɔdambɔ aduawɔtwe	80 bottles
aduonu	twenty	adjective	Nkanee 20	The number 20	mbɔdambɔ aduonu	twenty bottles
aduonum	fifty	adjective	nkanee 50	the number 50	mbɔdambɔ aduonum	fifty bottles
aduru	medicine	noun			aduru wene	bitter medicine
aduwa	bean	noun			moo na aduwa	rice and beans
adwe	palmkernel	noun			adwe abien	two palmkernels
adwen	mudfish	noun			kye adwen no	catch the mudfish
adwendwene	worry	noun			adwendwene pii	many worries
adwene	mind	noun			ne adwene	her mind
adwenemutew	intelligent	adjective			onyi adwenemutew	an intelligent person
adwenepɔw	idea	noun			me wɔ adwenepɔw bi	I have an idea
adwengo	palm kernel oil	noun	adwe ne mu ngo	oil from the seeds of the palm-nut tree	adwengo yie ma hwi	palm kernel oil is good for hair
adwenkyerɛ	thought	noun			wo adwenkyerɛ	your thoughts
adwin	technical	adjective			adwuma adwin	technical work
adwinsa	technology	noun			adwinsa foforo	new technology
Adwoa	Ajoa	noun	basia a wɔ wooee no Dwowda	Akan female born on Monday	Adwoa yɛ me babea	Ajoa is my daughter
adwuma	job	noun			me hia adwuma	I need a job
adwuma	work	noun			me pɛ adwuma me ayɛ	I want work I would do
adwumakuw	company	noun			adwumakuw ketekete	a small company
adwumapanyin	boss	noun			me adwumapanyin	my boss
adwumatumi	energy	science			wo tumi sesa nyo kɔ adwumatumi	you can change mass into energy
adwumatumipuw	radiation	science			awia ne adwumatumipuw	the radiation of the sun
adwumatɔw	project	noun			adwumatɔw du	ten projects
adwumawura	proprietor	noun			ɔ yɛ adwumawura	she is a proprietor
adwumayɛ	working	noun			adwumayɛ nnda famu	working is not trivial
afa	side	noun			ɔdɔ wɔ hɛn afa	love is on our side
afaban	wall	noun			tena afaban no so	sit on the wall
afade	attire	noun			wo afade yɛ fɛw	your attire is beautiful
afahyɛ	festival	noun			afahyɛ afeafe	a yearly festival
afanaa	corners	noun			wiase afanaa nyinaa	all corners of the world
afasew	water yam	noun			noa afasew no	cook the water yam
afe	year	noun			afe foforo aba	a new year has come
afe	comb	noun			fa afe serɛw wo tirihwi	use a comb to comb your hair
afeafe	yearly	adjective			afahyɛ afeafe	a yearly festival
afebɔɔ	infinity	noun	nkanee ∞	the number ∞	e de hwee kyɛ kanee biara mu a e nya afebɔɔ	if you divide any number by zero, you get infinity
afebɔɔ	permanent	adjective			adwuma afebɔɔ	a permanent job
afeda	date	noun			ndɛ yɛ afeda bɛn?	which date is today?
afehyia	whole year	noun			mfehyia abien	two whole years
afei	now	conjunction			na afei adɛn?	so what now?
afenaa	slavegirl	noun			mfenaa asia	six slavegirls
afɛfɛde	trinket	noun	afɛfɛw ade	pretty thing	ɔ wɔ afɛfɛde pii	she has many trinkets
Afganestan	Afghanistan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Afganestan	go to Afghanistan
Afganestannyi	Afghan	noun	obi a ɔ fi Afganestan	someone from Afghanistan	Afganestanfo no	the Afghans
afiri	machine	noun			afiri foforo	new machine
afono	cheek	noun			afono bɔdɛe	fat cheeks
aforafora	diverse	adjective			kuw aforafora	a diverse group
aforaforadɔm	diversity	noun			aforaforadɔm ma kuw ahoɔden	diversity gives a group strength
afotu	advice	noun			sɔfo wɔ afotu	a priest has advice
afɔre	sacrifice	noun			bɔ afɔre	offer a sacrifice
Afua	Efua	noun	basia a wɔ wooee no Fida	Akan female born on Friday	Afua yɛ me babea	Efua is my daughter
agodi	sport	noun			ɔ pɛ agodi	she likes sports
agofa	act	noun			agoro no ne Agofa Koro	Act 1 of the play
agofomba	cast	noun			yikyerɛ agofomba	cast of a film
agoprama	playing field	noun			yɛ bɔ bɔɔl wɔ agoprama so	football is played on a playing field
agoro	play	noun			hwɛ agoro	watch a play
agoro	game	noun			di agoro	play a game
agua	chair	noun			hyehyɛ ngua no	arrange the chairs
aguabɔ	durbar	noun			yɛ bɛkɔ aguabɔ no	we will go to the durbar
aguabɛ	guava	noun			Aguabɛ no yɛ dɛw.	the guava is sweet
aguaree	bathroom	noun			kɔ aguaree hɔ	go to the bathroom
agudi	jewelry	noun			agudi fɛwfɛw	pretty jewelry
agya	father	noun			me agya ba yɛ me nua	my father's child is my sibling
agyan	arrow	noun				bow and arrow
agyapade	property	noun			me agyapade	my property
agyeei	ouch	exclamation			Agyeei! ɛ yɛ yaw	Ouch! It hurts
agyenkwa	saviour	noun			me agyenkwa	my saviour
agyinambowa	cat	noun	ɔkra		agyinambowa wɔ dua	a cat has a tail
agyirahyɛde	symbol	noun			tumi agyirahyɛde	symbol of power
agyɛngyɛmbiara	by any chance	adverb			agyɛngyɛmbiara wo ahu no?	have you seen her by any chance?
ahaamu	groin	noun			banyin ne ahaamu	groin of a man
ahanamakye	dawn	noun			yɛ bɛfi ha ahanamakye	we will leave here at dawn
Ahanamanta		noun	Ɔpɛbere			
ahantan	pride	noun			ne ahantan	his pride
ahemfie	palace	noun			ahemfie foforo	new palace
ahen	how much	adjective			ɛ yɛ ahen?	how much is it?
ahenegua	throne	noun			tena ahenegua do	to sit on a throne
ahenekurow	capital	noun			Nkran yɛ Gaana ne ahenekurow	Accra is the capital of Ghana
ahenekyɛw	crown	noun			hyɛ ahenekyɛw no	to wear the crown
aheneman	kingdom	noun			Nyame ne aheneman	the kingdom of God
ahenewa	royalty	noun			wo yɛ ahenewa	you are royalty
ahi	annoying	adjective			ɛ yɛ wo ahi	it is annoying to you
ahiade	demand	noun			ahiade nye amade	demand and supply
ahihunu	bias	noun		see "prejudice"	suro nye ahihunu	
ahihunu	prejudice	noun			suro nye ahihunu	fear and prejudice
Ahinime	October	noun			Ahinime wɔ nda 31	October has 31 days
ahintasɛmfua	password	noun			sesa ahintasɛmfua	change password
ahisɛm	annoyance	noun			ɛ yɛ ahisɛm	it is an annoyance
ahoboa	preparation	noun			yɛ ahoboa	make preparation
ahoboaboa	preparations	noun			yɛ ahoboaboa	make preparations
ahobow	surprise	noun			ahobow kɛse	great surprise
ahobrɛase	humility	noun			wo kyerɛ ahobrɛase	you show humility
ahobrɛase	humble	adjective			nyimpa ahobrɛase	humble person
ahodow	different	adjective			ndeɛmba ahodow	different things
ahofadi	liberty	noun			yɛ wɔ ahofadi	we have liberty
ahokyere	hardship	noun			ahokyere kɛse	great hardship
ahoma	string	noun			ahoma na doroba	string and needle
ahome	breath	noun			gye wo ahome	collect your breath; rest
ahomeka	comfort	noun			ma me ahomeka	give me comfort
ahometew	distress	noun			anyiwu nye ahometew	shame and distress
ahonde	beads	noun			ahonde pa	good beads
ahonya	wealth	noun			yɛ wɔ ahonya kɛse	we have great wealth
ahonyade	asset	noun			ahonyade papa	a good asset
ahonyade	resource	noun			ahonyade papa	a good resource
ahopopo	trembling	noun			surow nye ahopopo	fear and trembling
ahoroba	insult	noun			ahoroba pii	many insults
ahorobahyehyɛ	diss	noun			ɔ nnyɛ ahorabahyehyɛ	it is not a diss
ahorobahyɛ	insults	noun			ahorabahyɛ gyengyen	unnecessary insults
ahorow	several	adjective			nkorɔfo ahorow baee	several people came
ahosu	colour	noun			ahosu asuon	seven colours
ahotɔ	luxury	noun			me hu ahotɔ wɔ wo ndaama mu	I see luxury in your future
ahoɔden	strength	noun			ahoɔden na tumi	strength and power
ahoɔfɛw	beauty	noun			ahoɔfɛw na dɔ	beauty and love
ahoɔyaa		noun	nyinkunu			
ahɔhodan	guest room	noun			da ahɔhodan no mu	sleep in the guest room
ahɔhofi	hotel	noun			ɔ da ahohofi	she sleeps at a hotel
ahɔre	phlegm	noun	hwɛ 'hwenedɔre'			wipe the phlegm
ahuhurobere	summer	noun			me di Ahuhurobere wɔ Kanada	I spend summer in Canada
ahum	storm	noun			ahum nye anyinam	storm with thunder
ahumbɔbɔ	mercy	noun			yieyɛ na ahumbɔbɔ	goodness and mercy
ahunabɔbirim	awesome	adjective	wo hu a wo bɔ birim		Nyame ahunabɔbirim	awesome God
ahuon	brain	noun			me ahuon	my brain
ahuon-ntini	nerve	noun			ahuon na ahuon-ntini	brain and nerves
ahwede	sugarcane	noun			we ahwede	to chew sugarcane
ahwehwɛ	mirror	noun			ahwehwɛ kɛse	big mirror
ahwehwɛanyiwa	spectacles	noun			ɔ hyɛ ahwehwɛanyiwa	she wears spectacles
ahwende	beads	noun			ahwende pa	good beads
ahwɛyie	carefulness	noun			ahwɛyie dodow	too much carefulness
ahwɛyiemu	carefully	adverb			nantew ahwɛyiemu	to walk carefully
ahyeawo	prostitute	noun			ahyeawo nyin	a male prostitute
Ahyia	Asia	noun			Ahyia yɛ asaasetaw	Asia is a continent
ahyiadi	conference	noun			kɔ ahyiadi	to go to a conference
ahyɛase	beginning	noun			ahyɛase no	the beginning
ahyɛmu	testament	noun			ahyɛmu foforo	new testament
ahyɛnsew	sign	noun			anidado ahyɛnsew	a sign of hope
akado	paint	noun			akado fitaa	white paint
akam	mark	noun			akam no wɔ hen?	where is the mark?
Akan	Akan	noun	Kasa kuw. Ne mu bi yɛ Twi, Akuapem, Nzema, Baule nye Fante	a language group originating from West Africa	Me ka Akan	I speak Akan
akaniakaba	philanderer	noun			wo ayɛ woho akaniakaba	you have made yourself a philanderer
akansi	competition	noun			bɔɔlbɔ akansi	football competition
akasa	cymbal	noun			bɔ akasa no	play the cymbals
akasakasa	friction	noun			akasakasa baee hɛn ntamu	friction came between us
akatawia	umbrella	noun			tena akatawia no ase	sit under the umbrella
akate	capsid	noun			akate di kookoo ndua	capsids eat cocoa trees
akatewa	melon seed	noun			akatewa frɔwee	melon seed stew
akatua	compensation	noun			wo nsa aka wo akatua?	have you received your compensation?
akenkan	reading	noun			si akenkan no do	repeat the reading
akentengua		noun	agua			
ako	war	noun			yɛ rekɔ ako	we are going to war
akoangoa	yellow	adjective			frankaa akoangoa	yellow flag
akobɛn	warhorn	noun			bɔ akobɛn no	blow the warhorn
akode	weapon	noun			yɛ tɔn akode	we sell weapons
akoko	chest	noun			akoko hwi	chest hair
akokoduru	courage	noun			ɔ wɔ akokoduru	she has courage
akokora	old man	noun			ɔ yɛ akokora	he is an old man
akokɔ	chicken	noun			akokɔ nam	chicken meat
akokɔbirisɛm	aggression	noun			akokɔbirisɛm dodow	too much aggression
akokɔnyin	cockerel	noun			akokɔnyin rebɔn	a cockerel is crowing
akokɔre	diarrhoea	noun			me wɔ akokɔre	I have diarrhoea
akoma	heart	noun			akoma pa	good heart
akomaden	stamina	noun			ɔ wɔ akomaden	she has stamina
akomantini	artery	noun	akomantini de mbogya fi akoma mu	arteries carry blood away from the heart	akomantini kɛse	a large artery
akongua	stool	noun			tena akongua no so	sit on the stool
akonkoran	crow	noun			akonkoran tuntum	a black crow
akoo	parrot	noun		a parrot is a bird	akoo abien	two parrots
akora	preservation	noun			aduane ne akora	the preservation of food
akorade	treasure	noun			akorade kɛse	great treasure
akowa	servant	noun			me akowa	my servant
akɔaba	welcome	exclamation			akɔaba akɔaba!	welcome welcome!
akɔdae	old man	noun			ɔ yɛ akɔdae	he is an old man
akɔndɔ	desirable	adjective			ɛ yɛ akɔndɔ	it is desirable
akɔndɔakɔndɔ	very desirable	adjective			ɛ yɛ akɔndɔakɔndɔ	it is very desirable
akɔneaba	to-and-fro	adverb			adende no kɔ akɔneaba	the swing goes to-and-fro
akɔnsɔn	baboon	noun			nkɔnsɔn abiasa	three baboons
akrante	hedgehog	noun			nkrante asuon	seven hedgehogs
akron	nine	adjective	Nkanee 9	The number 9	Mbɔdambɔ akron	Nine bottles
akrɔma	hawk	noun			akrɔma na akokɔ	a hawk and a chicken
Akua	Ekua	noun	basia a wɔ wooee no Wukuda	Akan female born on Wednesday	Akua yɛ me babea	Ekua is my daughter
Akuapem	Akuapem	noun			Akuapem yɛ Akan kasa	Akuapem is an Akan language
akuraa	community	noun			ka abusua foforo no fra akuraa no mu	to integrate a new family into the community
akuraase	village	noun			me rekɔ me akuraase	I am going to my village
akutu	orange	noun			akutu abiasa	three oranges
akwadaa	toddler	noun			akwadaa, wo rekɔ hen?	toddler, where are you going?
akwadwere	apathy	noun			akwadwere kum ndeɛmba pa	apathy kills good things
akwahosan	health	noun			Wo akwahosan ho hia.	food gives health
akwambew	problem	noun			akwambew pii	many problems
akwanhyia	accident	noun			kaar akwanhyia	car accident
akwanma	vacation	noun			akwanma tenten	a long vacation
akwantu	journey	noun			akwantu tenten	a long journey
akyekyemawe		noun	hwɛ 'aboadabi'			
akyekyenduru	preservative	noun			nkyenkyenduru biara nnyi mu	it has no preservatives in it
akyekyerɛ	tortoise	noun			akyekyerɛ nantew brɛw	a tortoise walks slowly
akyem	weaverbird	noun			nkyem awɔtwe	eight weaverbirds
akyemfowa	swallow	noun			ɔkra nye akyemfowa	a cat and a swallow
akyere	ugly	adjective			ɛ yɛ akyere	it is ugly
akyerɛbaa		noun	nua-basia			
akyerɛwamba	alphabet	noun			me nyim akyerɛwamba no nyina	I know all the alphabet
akyi	behind	preposition			kɔ akyi	go behind
akyingye	doubt	noun			ɔ wɔ akyingye	she has doubts
akyiri	back	noun		rear or reverse surface of a thing	abow no akyiri	the back of the door
akyiriyi	later	adverb			wɔ bɛdidi akyiriyi	they will eat later 
akyiwade	abomination	noun			ɛ yɛ akyiwade	it is an abomination
akyɛde	gift	noun			akyɛde pa	a good gift
alaaji	alhaji	noun			ɔ yɛ alaaji	he is an alhaji
Alata	Nigeria	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Alata	go to Nigeria
Alatanyi	Nigerian	noun	obi a ɔ fi Alata	someone from Nigeria	Alatafo no	the Nigerians
aleluya	hallelujah	exclamation	ɛ kyerɛ sɛ "ayɛyi nka Nyame!"	means "God be praised"	tow aleluya	sing hallelujah
alɛgyi	allergy	noun			nkate alɛgyi	groundnut allergy
alɛgyiki	allergic	adjective			honam alɛgyiki	allergic skin
alikɔpta	helicopter	noun			alikɔpta abien	two helicopters
aluminiyɔm	aluminium	science			aluminiyɔm (Al) wɔ protɔn 13	aluminium (Al) has 13 protons
amade	supply	noun			ahiade nye amade	demand and supply
amambere	culture	noun	sɛdea nkorɔfo kuw bi bɔ wɔn bra		me sukuu ne amambere	the culture of my school
amambu	governance	noun			amambu papa	good governance
amambɔe	treason	noun			amambɔe yɛ bɔne	treason is evil
amamfi	giant	noun			amamfi anan	four giants
amande	custom	noun			ɔdɔ yɛ amande pa	love is a good custom
amandehu	suffering	noun			suro nye amandehu	fear with suffering
amandeɛ	report	noun			bɔ amandeɛ	make a report
amandeɛbɔ	announcement	noun			kenkan amandeɛbɔ	read the announcement
amandɔ	patriotism	noun			ɔ wɔ amandɔ	he has patriotism
amanko	civil war	noun			gyae amanko no	stop the civil war
amansuon	realm	noun	kyerɛ Akan mfantefo hɔn aman asuon		amansuon dawuru	news of the realm
amansɛm	politics	noun			wo pɛ amansɛm	you like politics
Amba	Ama	noun	basia a wɔ wooee no Memeneda	Akan female born on Saturday	Amba yɛ me babea	Ama is my daughter
amba	seed	noun			akutu amba abiasa	three orange seeds
ambaade		noun	hwɛ 'mbɔtoamu'			
ambatow	voting	noun			ambatow no rekɔ yie	the voting is going well
ambrado	governor	noun			ɔ no nye ambrado	she is the governor
ambɛn	horn	noun		bony part of an animal	apɔnkye ne ambɛn	a goat's horn
Amɛreka	America	noun			Amɛreka yɛ asaasetaw	America is a continent
Amɛreka Amankuw	United States of America	noun			wɔ wooee no wɔ Amɛreka Amankuw	he was born in the United States of America
Amɛrekanyi	American	noun			ɔ yɛ Amɛrekanyi	she is an American
Aminia	Armenia	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Aminia	go to Armenia
Aminianyi	Armenian	noun	obi a ɔ fi Aminia	someone from Armenia	Aminiafo no	the Armenians
amokua	squirrel	noun			amokua pɛ abɛ	a squirrel likes palm nuts
amonade	delivery	noun			amonade no aba	the delivery has arrived
ampa	true	adjective			ɛ yɛ ampa	it is true
ampaara	truly	adverb			ampaara Nyame yie	truly God is good
ampe	ampay	noun	agoro bi a nsamubɔ nye ahuruw wɔ mu	a game of clapping and jumping	ma yɛ mbɔ ampe	let's play ampay
amudɔ	deep	adjective			tokuro amudɔ	a deep hole
ana	before	preposition			didi ana ada	eat before (you) sleep
anaa	or	conjunction			Kofi anaa Ama	Kofi or Ama
anaafo	south	noun			kɔ anaafo	go south
Anaafo Koria	South Korea	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Anaafo Koria	go to South Korea
Anaafo Korianyi	South Korean	noun	obi a ɔ fi Anaafo Koria	someone from South Korea	Anaafo Koriafo no	the South Koreans
anadwe	night	noun			anadwe ndɔn-awɔtwe	8 o'clock in the night
anafua	night	noun			anafua ndɔn-awɔtwe	8 o'clock in the night
anago		noun	anadwe			
anamuna	watermelon	noun			di anamuna no	eat the watermelon
anamɔnkwan	path	noun			di anamɔnkwan no akyi	follow the path
anan	four	adjective	Nkanee 4	The number 4	Bɔdambɔ anan si bamba no so	There are four bottles on the wall
ananade	sole	noun			kyerɛ me wo ananade	show me your soles
ananse	spider	noun			ananse ntentan	spider's web
anansesɛm	story	noun			ka anansesɛm kyerɛ me	tell me a story
ananta	bow-legged	adjective			banyin ananta	bow-legged man
anapa	morning	noun			anapa tutu	early morning
anapaduan	breakfast	noun			ɔ bɛdi anapaduan	he will eat breakfast
anee	west	noun			kɔ anee	go west
anenamfikyiri	homeless	adjective			nyimpa anenamfikyiri	a homeless person
angoa	vegetable oil	noun			fa angoa kyew nam	use vegetable oil to fry fish
Angola	Angola	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Angola	go to Angola
Angolanyi	Angolan	noun	obi a ɔ fi Angola	someone from Angola	Angolafo no	the Angolans
anhwea	sand	noun			mpoano anhwea	beach sand
ankaa	orange	noun			ankaa abiasa	three oranges
ankama	lime	noun			ankama nsu	lime juice
ankora	barrel	noun			hyɛ ankora no ma	fill up the barrel
ankɔbea	steward	noun			ankɔbea papa	a good steward
ano	mouth	noun			me ano	my mouth
anofamfa	lip	noun			anofamfa kɔkɔɔ	red lips
anohoba	promise	noun			ma me anohoba	give me a promise
anokum		noun	kɔnkɔnsa			
anoma	bird	noun			anoma tu	a bird flies
