_	a	determiner				a man and a woman
ባምቡላ	doll	noun			የአነይ ባምቡላ	my doll
ባቡር	train	noun			ሓዲሽ ባቡር	new train
ባኒ	bread	noun			ልምሉም ባኒ	soft bread
ባናና	banana	noun			ህበይ ከም ባናና	a monkey likes bananas
ባዶ	zero	adjective		A number that indicates nothingness; 0	ካብ ባዶ ክሳብ ትሽዓተ	From zero to nine
ብሽክሊታ	bicycle	noun			ሓዲሽ ብሽክሊታ	new bicycle
ብጫ	yellow	adjective			ብጫ ባንዴራ	yellow flag
ተለቭጅን	television	noun			ተለቭጅን ክፈተዉ	switch on the television
ተመን	snake	noun			ተመን እግሪ የለዎም	a snake has no legs
ተራኢዩ	play	verb			ንሕና ተራኢዩ	we are playing
ተስዓ	ninety	adjective		the number 90	ተስዓ ጥርሙዝ	ninety bottles
ተትርኣስ	pillow	noun			ሓዲሩ እና  ተትርኣስ	pillow and bed
ተዛወረ	walk	verb			በዝግታ ተዛወረ	to walk slowly
ት	t	phoneme		also written as T	pronounced as /ti/	pronounced as /tə/
ትሽዓተ	nine	adjective		The number 9	ትሽዓተ ጥርሙዝ	Nine bottles
ትግርኛ	Tigrinya	noun			ትግርኛ 	Tigrinya language
ነጠላጫማ	slippers	noun			ኻትኩም ነጠላጫማ ለበስ	you are wearing slippers
ናቱ	his	possessive			ናቱ ገዛ	his house
ናታቶም	their	possessive			ናታቶም ገዛ	their house
ናትኻ	your	possessive		2nd person singular possessive pronoun	ናትኻ ገዛ	your house
ን	and	conjunction			Kofi ን Ama	Kofi and Ama
ንሕቢ	bee	noun			ብዙሕ ንሕቢ	many bees
ንሕና	we	pronoun		used to indicate oneself and others		we eat
ንሰን	they	pronoun		used to indicate people, or things, previously mentioned		they eat
ንሱ	he	pronoun		used to indicate one male person previously mentioned		he eats
ንሳ	she	pronoun		used to indicate one female person previously mentioned		she eats
ንሳ	her	possessive			ንሳ ገዛ	her house
ንስኹም	yous	pronoun		Also written as "you". second person plural subject. Used to indicate people being addressed.		yous eat
ንስኺ	you	pronoun		second person singular subject pronoun. Used to indicate one person being addressed		you eat
ንስኻ	you	pronoun		second person singular subject pronoun. Used to indicate one person being addressed		you eat
ንስኽን	yous	pronoun		Also written as "you". second person plural subject. Used to indicate people being addressed.		yous eat
ንእሽተይ	small	adjective			ንእሽተይ ኣቕሓ	a small thing
ንፋስማ	windy	adjective			ንፋስማመዓልቲ	a windy day
አነይ	my	possessive			አነይ ገዛ	my house
አዉሮፕላን	aeroplane	noun			ክልተ አዉሮፕላን	two aeroplanes
ኢዩ	be	verb		used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are		You are an important person
ኣም	tree	noun			ኣም መትከል	plant a tree
ኣራንቺ	orange	adjective			ኣራንቺ ቆቢዕ ልበስዩ	wear the orange cap
ኣራንቺ	orange	noun			ሰለስተ ኣራንቺ	three oranges
ኣርባዓ	forty	adjective		the number 40	ኣርባዓ ጥርሙዝ	forty bottles
ኣርባዕተ	four	adjective		The number 4	ኣርባዕተ ጥርሙዝ	There are four bottles on the wall
ኣሰርተኣርባዕተ	fourteen	adjective		the number 14	ኣሰርተኣርባዕተ ጥርሙዝ	fourteen bottles
ኣስርትሓደ	eleven	adjective			ኣስርትሓደ ጥርሙዝ	eleven bottles
ኣነ	I	pronoun		used to indicate oneself		I eat
ኣንጭዋ	mouse	noun			ገዚፍ ኣንጭዋ	a big mouse
ኣጥለለ	wet	adjective			ኣጥለለ ኮቦርታ	wet blanket
ኣፍ	mouth	noun			አነይ ኣፍ	my mouth
ኣፍንጫ	nose	noun			ኣፍንጫ እና እዝኒ	ear and nose
እንስሳ	animal	noun				a dog is an animal
እንቋቁሖ	egg	noun			ደርሆ እንቋቁሖ	chicken egg
እዝኒ	ear	noun			እዝኒ እና ኣፍንጫ	ear and nose
እግሪ	leg	noun			ያበጠ እግሪ	swollen leg
እግሪ	foot	noun			አነይ እግሪ	my foot
ከልቢ	dog	noun				a dog barks
ከረሜላ	toffee	noun			ከረሜላ ምጠጥ	lick a toffee
ከበድያለ	solemn	adjective			ከበድያለ ቃል	a solemn promise
ኩባያ	cup	noun			ሻኂ ኩባያ	tea cup
ኩዕሶ	ball	noun			ኩዕሶ ተራኢዩ	play ball
ኪድ	go	verb			ወደ ቤተ ትምህርቲ ኪድ	to go to school
ካምፑትር	computer	noun			ካምፑትር ኪባርድ	computer keyboard
ክልተ	two	adjective			መንደቕ  ላይ  ክልተ ጥርሙዝ ኢዮም	There are two bottles on the wall
ኮሚደረ	tomato	noun			ክልተ ኮሚደረ	two tomatoes
ኮቦርታ	blanket	noun			ኣጥለለ ኮቦርታ	wet blanket
ኮከብ	star	noun			ብዙሕ ኮከብ	plenty of stars
ኮፍ	sit	verb			ኮፍ ኢሉ እዚ	to sit here
ኽዳን	clothes	noun			ኽዳን ግዛእ	buy clothes
ወምበር	chair	noun			አዳሊው ካብ ወምበር	arrange the chairs
ወርሒ	moon	noun			ወርሒ እና ኮኮብ	moon and stars
ወደቐ	it	pronoun		subject pronoun used to indicate one thing previously mentioned	እንታየይ ወደቐ	it falls
ወዲ	boy	noun			ወዲ ኣብዚ	the boy is here
ዓመታዊ	yearly	adjective			ዓመታዊ  ክብረባዓል	a yearly festival
ዓሰርተ	ten	adjective		the number 10	ዓሰርተ ጥርሙዝ	ten bottles
ዓሰርተሓሙሽተ	fifteen	adjective		the number 15	ዓሰርተሓሙሽተ  ጥርሙዝ	fifteen bottles
ዓሰርተሰለስተ	thirteen	adjective		the number 13	ዓሰርተሰለስተ ጥርሙዝ	thirteen bottles
ዓሰርተሸሞንተ	eighteen	adjective		the number 18	ዓሰርተሸሞንተ ጥርሙዝ	eighteen bottles
ዓሰርተሸውዓተ	seventeen	adjective		the number 17	ዓሰርተሸውዓተ ጥርሙዝ	seventeen bottles
ዓሰርተሽዱሽተ	sixteen	adjective		the number 16	ዓሰርተሽዱሽተ ጥርሙዝ	sixteen bottles
ዓሰርተትሽዓተ	nineteen	adjective		the number 19	ዓሰርተትሽዓተ ጥርሙዝ	nineteen bottles
ዓሰርተክልተ	twelve	adjective		the number 12	ዓሰርተክልተ ጥርሙዝ	twelve bottles
ዓሳ	fish	noun				fried fish
ዓይኒ	eye	noun			ዓይኒ እና ጨጉሪዓይኒ	eye and eyebrow
ዕምበባ	flower	noun			ጽቡቕ ዕምበባ	pretty flower
ዕስራ	twenty	adjective		The number 20	ዕስራ ጥርሙዝ	twenty bottles
ዘረባ	talk	verb			ብእዙ ዘረባ	to talk too much
የቴክኒክ	technical	adjective			የቴክኒክ ሰርሐ	technical work
የእኛ	our	possessive			የእኛ  ገዛ	our house
የጥርስሳሙና	toothpaste	noun			የጥርስ ብሩሽ እና ሳሙና	toothbrush and toothpaste
ያልተለመደ	unfamiliar	adjective			ያልተለመደ እንስሳ	unfamiliar animal
ደርሆ	chicken	noun			ደርሆ ስጋ	chicken meat
ደርፊ	sing	verb			ደርፊ ዜማ	to sing a sweet song
ደበና	cloud	noun			ጻዕዳ ደበና	a white cloud
ድሙ	cat	noun			ድሙ ጭራ አላት	a cat has a tail
ድቃስ	sleep	verb			ድቃስ በለይቲ	to sleep at night
ድኹም	weak	adjective			ኣነ ድኹም እዩ	I am weak
ድኻ	poor	adjective			ድኻ ሃገር	a poor country
ጀልባ	boat	noun			ቀይሕ ጀልባ	red boat
ገዛ	house	noun			እዚ ገዛ	the house
ገፊሕ	wide	adjective			ገፊሕ መንገዲ	wide road
ጉማሬ	hippopotamus	noun		also called a hippo	ጉማሬ ሰፊ ከብዲ አለዉ	a hippopotamus has a big stomach
ጉንጓ	owl	noun			ጉንጓ ጭሩ ነዉ	an owl is a bird
ግናይ	ugly	adjective			ግናይ ነው	it is ugly
ጓል	girl	noun			ነዊሕ ጓል	tall girl
ጠረጴዛ	table	noun			ወምበር እና ጠረጴዛ	chair and table
ጠቅላላኡ	total	adjective			ጠቅላላኡ  ብዝሓት	the total amount
ጠጣ	drink	verb			ማይ ጠጣ	to drink water
ጢል	goat	noun			ጢል እና  በጊዕ	a goat and a sheep
ጥርሙዝ	bottle	noun			ሓሙሽተ ጥርሙዝ	five bottles
ጭሩ	bird	noun			ጭሩ በራሪ ናት	a bird flies
ጭንቁራዕ	frog	noun			ጭንቁራዕ ምፍታው ማይ	a frog likes water
ጻዕዳ	white	adjective			ጻዕዳ ገዛ	white house
ጽምብላሊዕ	butterfly	noun			ጽምብላሊዕ ጽቡቕ ነዉ	a butterfly is beautiful
ፀሓይ	sun	noun			ፀሓይ መዓልቲ	the sun is shining
ፀሓይ	sunny	adjective			ፀሓይ መዓልቲ	a sunny day
ፈረስ	horse	noun			ጻዕዳ ፈረስ	white horse
ፋርከታ	fork	noun			ፋርከታ እና ካራ	fork and knife
ፋጆሊ	bean	noun			ሩዝ እና ፋጆሊ	rice and beans
ፍሕኛ	balloon	noun			ክልተ ፍሕኛ	two balloons
ፕላስቲክ	plastic	adjective			ፕላስቲክ ኩባያ	plastic cup
